CMDLINE C:\Users\63977\AppData\Local\Programs\Python\Python311\python.exe PolyVisionMain.py
MEM 232.246094 1690947150.1711
MEM 232.246094 1690947150.2716
MEM 232.246094 1690947150.3720
MEM 228.750000 1690947150.4723
MEM 228.750000 1690947150.5726
MEM 228.750000 1690947150.6728
MEM 228.750000 1690947150.7732
MEM 228.750000 1690947150.8736
MEM 228.750000 1690947150.9741
MEM 228.750000 1690947151.0746
MEM 228.750000 1690947151.1752
MEM 228.750000 1690947151.2757
MEM 228.750000 1690947151.3762
MEM 228.750000 1690947151.4767
MEM 228.750000 1690947151.5771
MEM 228.750000 1690947151.6775
MEM 228.750000 1690947151.7782
MEM 228.750000 1690947151.8784
MEM 228.750000 1690947151.9790
MEM 228.750000 1690947152.0794
MEM 228.750000 1690947152.1798
MEM 228.750000 1690947152.2803
MEM 228.750000 1690947152.3807
MEM 228.750000 1690947152.4813
MEM 228.750000 1690947152.5818
MEM 228.750000 1690947152.6823
MEM 228.750000 1690947152.7827
MEM 228.750000 1690947152.8831
MEM 228.750000 1690947152.9836
MEM 228.750000 1690947153.0840
MEM 228.750000 1690947153.1845
MEM 228.750000 1690947153.2848
MEM 228.750000 1690947153.3851
MEM 228.750000 1690947153.4855
MEM 228.750000 1690947153.5861
MEM 228.750000 1690947153.6866
MEM 228.750000 1690947153.7870
MEM 228.750000 1690947153.8875
MEM 228.750000 1690947153.9878
MEM 228.750000 1690947154.0882
MEM 228.750000 1690947154.1892
MEM 228.750000 1690947154.2898
MEM 228.750000 1690947154.3900
MEM 228.750000 1690947154.4901
MEM 228.750000 1690947154.5907
MEM 228.750000 1690947154.6914
MEM 228.750000 1690947154.7918
MEM 228.750000 1690947154.8921
MEM 228.750000 1690947154.9925
MEM 228.750000 1690947155.0928
MEM 228.750000 1690947155.1929
MEM 228.750000 1690947155.2932
MEM 228.750000 1690947155.3934
MEM 228.753906 1690947155.4937
MEM 228.753906 1690947155.5940
MEM 228.753906 1690947155.6945
MEM 228.753906 1690947155.7949
MEM 228.753906 1690947155.8953
MEM 228.753906 1690947155.9956
MEM 228.753906 1690947156.0961
MEM 228.753906 1690947156.1967
MEM 228.753906 1690947156.2972
MEM 228.753906 1690947156.3975
MEM 228.753906 1690947156.4980
MEM 228.753906 1690947156.5984
